Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Distance_description,Price_frequence,mean_price_deviation
Toyota,Prius,2011,Hatchback,195000.0,1800.0,Hybrid,Automatic,7750.0,10,19500.0,2,2,-0.063
Renault,Grand Scenic,2014,Universal,135000.0,1500.0,Diesel,Manual,8550.0,7,19285.714285714286,1,2,0.218
Renault,Laguna,2012,Universal,110000.0,1500.0,Diesel,Manual,6550.0,9,12222.222222222224,1,2,0.446
Opel,Astra,2006,Universal,200000.0,1600.0,Metan/Propan,Manual,4100.0,15,13333.333333333334,2,0,-0.071
Mercedes,Vito,2000,Microvan,300000.0,2200.0,Diesel,Manual,3490.0,21,14285.714285714286,0,0,-0.562
Volkswagen,Passat,2010,Universal,290000.0,1390.0,Petrol,Manual,5600.0,11,26363.636363636364,0,2,-0.143
Volkswagen,Touareg,2010,SUV,220000.0,2400.0,Diesel,Automatic,17000.0,11,20000.0,0,2,0.294
Mercedes,Series (W124),1991,Sedan,240000.0,2300.0,Petrol,Manual,2850.0,30,8000.0,0,0,-0.101
BMW,5 Series,2004,Sedan,325000.0,300.0,Diesel,Manual,3400.0,17,19117.647058823528,0,0,-0.67
Mercedes,E Class,2010,Sedan,210000.0,2200.0,Diesel,Automatic,11400.0,11,19090.90909090909,2,2,0.049
Mercedes,CLS Class,2006,Coupe,300000.0,3200.0,Diesel,Automatic,11800.0,15,20000.0,0,2,-0.332
BMW,7 Series,1998,Sedan,285000.0,3500.0,Petrol,Manual,3990.0,23,12391.304347826086,0,0,-0.768
Volkswagen,Golf,2007,Universal,238371.0,1400.0,Petrol,Automatic,5000.0,14,17026.5,0,0,-0.127
Volkswagen,Golf Plus,2010,Hatchback,150000.0,1200.0,Petrol,Manual,5500.0,11,13636.363636363636,2,2,-0.051
Volvo,XC60,2012,Crossover,180000.0,2400.0,Diesel,Automatic,15900.0,9,20000.0,2,2,-0.133
Nissan,Qashqai,2011,Crossover,251000.0,1500.0,Diesel,Manual,8300.0,10,25100.0,0,2,-0.233
Hyundai,Matrix,2005,Universal,383000.0,1500.0,Diesel,Manual,3200.0,16,23937.5,0,0,0.055
Audi,A3,2009,Hatchback,248000.0,2000.0,Diesel,Automatic,9299.0,12,20666.666666666668,0,2,-0.015
Mercedes,E Class,2004,Universal,315000.0,1800.0,Metan/Propan,Manual,6900.0,17,18529.41176470588,0,2,-0.365
Other,31029,1992,Sedan,68000.0,2445.0,Petrol,Manual,2222.0,29,2344.8275862068967,1,3,
Renault,Megane,2011,Universal,171000.0,1500.0,Diesel,Manual,5700.0,10,17100.0,2,2,0.015
Other,Model S,2013,Hatchback,113000.0,367.0,Electric,Automatic,27000.0,8,14125.0,1,5,
Mercedes,E Class,2014,Sedan,275500.0,2200.0,Diesel,Automatic,18350.0,7,39357.142857142855,0,2,0.689
Other,MKZ,2017,Sedan,157000.0,1998.0,Hybrid,Automatic,17800.0,4,39250.0,2,2,0.199
Lexus,NX Series,2017,Crossover,76000.0,1998.0,Petrol,Automatic,27999.0,4,19000.0,1,2,0.046
Other,Caliber,2008,Hatchback,113486.0,1998.0,Metan/Propan,Automatic,4495.0,13,8729.692307692309,1,3,
Audi,100,1993,Sedan,235000.0,2000.0,Petrol,Manual,2950.0,28,8392.857142857143,0,0,0.415
Porsche,Cayenne,2012,Crossover,253444.0,3000.0,Diesel,Automatic,30222.0,9,28160.444444444445,0,2,-0.146
Lexus,RX Series,2009,SUV,250000.0,3500.0,Hybrid,Automatic,17990.0,12,20833.33333333333,0,2,-0.116
Volkswagen,Passat,2012,Sedan,179000.0,1400.0,Metan/Propan,Automatic,9800.0,9,19888.88888888889,2,2,0.5
BMW,X1,2015,Crossover,169777.0,2000.0,Diesel,Automatic,16888.0,6,28296.166666666668,2,2,0.044
Mercedes,GLC Coupe,2017,Crossover,71333.0,2500.0,Diesel,Automatic,43404.0,4,17833.25,1,5,
Opel,Vectra,1994,Sedan,340000.0,1800.0,Petrol,Manual,1500.0,27,12592.592592592591,0,0,-0.291
BMW,7 Series,2007,Sedan,300000.0,3000.0,Diesel,Automatic,11500.0,14,21428.571428571428,0,2,-0.332
Volkswagen,Touran,2004,Minivan,280000.0,200.0,Diesel,Automatic,5300.0,17,16470.58823529412,0,2,-0.213
Volkswagen,Passat,2010,Universal,228000.0,1400.0,Metan/Propan,Automatic,5700.0,11,20727.272727272728,0,2,-0.128
Toyota,Auris,2010,Sedan,185000.0,1400.0,Diesel,Manual,6500.0,11,16818.18181818182,2,2,-0.21
Nissan,Qashqai,2009,Hatchback,200415.0,1500.0,Diesel,Manual,6200.0,12,16701.25,2,2,-0.427
BMW,3 Series,2016,Minivan,136000.0,2000.0,Diesel,Automatic,13200.0,5,27200.0,1,2,0.904
