Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year
Opel,Insignia,2015,Sedan,76500.0,1600.0,Petrol,Automatic,12999.0,6,12750.0
Toyota,Corolla Verso,2007,Minivan,169000.0,2200.0,Diesel,Manual,4300.0,14,12071.42857142857
Mitsubishi,Outlander,2018,Crossover,111500.0,2000.0,Plug-in Hybrid,Automatic,19900.0,3,37166.666666666664
Skoda,Octavia,2005,Universal,180000.0,2000.0,Petrol,Manual,5300.0,16,11250.0
Volvo,S60,2010,Sedan,178000.0,1999.0,Petrol,Automatic,9490.0,11,16181.818181818182
Renault,Grand Scenic,2016,Minivan,170000.0,1500.0,Diesel,Automatic,10500.0,5,34000.0
Mercedes,A Class,2001,Hatchback,287141.0,1400.0,Petrol,Manual,2099.0,20,14357.05
Nissan,Sunny,1987,Universal,256987.0,1700.0,Diesel,Manual,650.0,34,7558.441176470588
Mercedes,GLK Class,2013,Crossover,182000.0,2200.0,Diesel,Automatic,16999.0,8,22750.0
Lexus,CT Series,2011,Hatchback,167000.0,1800.0,Hybrid,Automatic,10250.0,10,16700.0
Opel,Astra,2015,Universal,162000.0,1400.0,Petrol,Manual,7200.0,6,27000.0
Mercedes,E Class,2002,Sedan,257000.0,2200.0,Diesel,Automatic,4700.0,19,13526.315789473685
Renault,Megane,2016,Universal,83872.0,1500.0,Diesel,Automatic,7950.0,5,16774.4
Volkswagen,Caddy,2011,Minivan,181000.0,1600.0,Diesel,Manual,10800.0,10,18100.0
Porsche,Cayenne,2005,SUV,260000.0,4500.0,Petrol,Automatic,7600.0,16,16250.0
BMW,5 Series,2011,Sedan,210710.0,200.0,Diesel,Automatic,16450.0,10,21071.0
Mercedes,A Class,2010,Hatchback,178000.0,1500.0,Petrol,Manual,5400.0,11,16181.818181818182
Peugeot,407,2006,Sedan,111111.0,2000.0,Petrol,Manual,3100.0,15,7407.4
Ford,Focus,2016,Universal,190000.0,1500.0,Diesel,Manual,7500.0,5,38000.0
Volvo,S60,2011,Sedan,182431.0,1596.0,Petrol,Automatic,10500.0,10,18243.1
Mercedes,C Class,2009,Sedan,160000.0,1600.0,Metan/Propan,Automatic,7900.0,12,13333.333333333334
Lexus,Es Series,2012,Sedan,79118.0,2400.0,Hybrid,Automatic,16100.0,9,8790.888888888889
Audi,A5,2010,Coupe,178545.0,2000.0,Petrol,Manual,9799.0,11,16231.363636363636
BMW,3 Series,2018,Sedan,45000.0,2000.0,Plug-in Hybrid,Automatic,19500.0,3,15000.0
Renault,Kadjar,2016,Crossover,136000.0,1500.0,Diesel,Automatic,12500.0,5,27200.0
Skoda,Superb,2015,Universal,195000.0,2000.0,Diesel,Automatic,15300.0,6,32500.0
Skoda,Superb,2014,Sedan,181000.0,2000.0,Diesel,Automatic,14800.0,7,25857.14285714286
Toyota,Avensis,2013,Sedan,72000.0,1987.0,Petrol,Automatic,14000.0,8,9000.0
Mercedes,Vito,2008,Microvan,266000.0,2200.0,Diesel,Manual,8490.0,13,20461.53846153846
Chevrolet,Lacetti,2005,Hatchback,224000.0,1600.0,Petrol,Manual,2550.0,16,14000.0
Volkswagen,Bora,2001,Sedan,290000.0,1600.0,Petrol,Manual,2990.0,20,14500.0
Honda,CR-V,2014,Crossover,169200.0,2200.0,Diesel,Manual,17250.0,7,24171.428571428572
Hyundai,Santa FE,2006,Crossover,278000.0,2200.0,Diesel,Manual,7850.0,15,18533.333333333332
Skoda,Fabia,2011,Universal,162000.0,1200.0,Diesel,Manual,4950.0,10,16200.0
Honda,Civic,2008,Sedan,170000.0,1330.0,Hybrid,Automatic,5750.0,13,13076.923076923076
Mercedes,A Class,2000,Hatchback,230000.0,1600.0,Petrol,Automatic,2199.0,21,10952.380952380952
BMW,3 Series,2006,Sedan,210000.0,3000.0,Diesel,Manual,2500.0,15,14000.0
Opel,Astra,2012,Universal,189000.0,1300.0,Diesel,Manual,6000.0,9,21000.0
Toyota,Auris,2015,Universal,104000.0,1800.0,Hybrid,Automatic,10000.0,6,17333.333333333332
Toyota,Prius,2008,Hatchback,259000.0,1500.0,Hybrid,Automatic,6000.0,13,19923.076923076922
Mazda,626,2001,Hatchback,270000.0,1800.0,Petrol,Manual,2700.0,20,13500.0
Skoda,Rapid,2017,Universal,92500.0,1400.0,Diesel,Manual,7700.0,4,23125.0
Opel,Zafira,2006,Minivan,186713.0,1800.0,Petrol,Manual,5200.0,15,12447.533333333333
Opel,Zafira,2006,Minivan,60000.0,1800.0,Metan/Propan,Automatic,4900.0,15,4000.0
BMW,3 Series,2008,Sedan,212000.0,2000.0,Petrol,Manual,6690.0,13,16307.692307692309
Hyundai,Getz,2007,Hatchback,175000.0,1500.0,Diesel,Manual,3900.0,14,12500.0
Skoda,Superb,2015,Sedan,196000.0,2000.0,Diesel,Automatic,15690.0,6,32666.666666666668
Dacia,Lodgy,2012,Universal,179000.0,1500.0,Diesel,Manual,6900.0,9,19888.88888888889
Volkswagen,Passat,2012,Sedan,183000.0,1400.0,Metan/Propan,Automatic,10200.0,9,20333.333333333332
BMW,5 Series,2006,Sedan,243000.0,2500.0,Petrol,Automatic,7990.0,15,16200.0
Renault,Grand Scenic,2015,Universal,162000.0,1500.0,Diesel,Automatic,8790.0,6,27000.0
Skoda,Octavia,2016,Hatchback,200000.0,1400.0,Petrol,Manual,9000.0,5,40000.0
Porsche,Cayenne,2016,SUV,155000.0,3000.0,Plug-in Hybrid,Automatic,48000.0,5,31000.0
Chevrolet,Aveo,2011,Universal,72000.0,1400.0,Petrol,Manual,5500.0,10,7200.0
Renault,Clio Symbol,2002,Sedan,270000.0,1400.0,Metan/Propan,Manual,2450.0,19,14210.526315789473
Volkswagen,Caddy,2012,Minivan,250000.0,1600.0,Diesel,Manual,7000.0,9,27777.777777777777
Toyota,Avensis,2008,Sedan,178000.0,2000.0,Petrol,Manual,7190.0,13,13692.307692307691
Opel,Astra,2017,Universal,97000.0,1600.0,Diesel,Manual,10990.0,4,24250.0
Nissan,Qashqai,2016,Crossover,199000.0,1500.0,Diesel,Manual,14400.0,5,39800.0
Honda,Civic,2011,Sedan,188000.0,1300.0,Hybrid,Automatic,6700.0,10,18800.0
Audi,A4,2010,Sedan,158000.0,2000.0,Petrol,Automatic,9990.0,11,14363.636363636364
Volkswagen,Passat,2009,Universal,283000.0,1400.0,Metan/Propan,Manual,5990.0,12,23583.333333333332
Citroen,DS5,2014,Hatchback,161000.0,2000.0,Hybrid,Automatic,11700.0,7,23000.0
Volkswagen,Tiguan,2009,Crossover,112000.0,2000.0,Petrol,Automatic,8999.0,12,9333.333333333334
BMW,5 Series,2008,Sedan,191000.0,3000.0,Petrol,Automatic,8490.0,13,14692.307692307691
Nissan,Qashqai,2017,Crossover,133000.0,1500.0,Diesel,Manual,13500.0,4,33250.0
Seat,Altea,2004,Hatchback,197000.0,1900.0,Diesel,Manual,6800.0,17,11588.235294117647
Renault,Kadjar,2015,Crossover,172000.0,1500.0,Diesel,Automatic,12499.0,6,28666.666666666668
Skoda,Fabia,2011,Universal,181000.0,1200.0,Diesel,Manual,5490.0,10,18100.0
Dacia,Logan,2016,Sedan,154000.0,1500.0,Diesel,Manual,5400.0,5,30800.0
Opel,Astra,2005,Hatchback,224555.0,1400.0,Petrol,Manual,3499.0,16,14034.6875
Nissan,Qashqai,2015,Crossover,143000.0,1500.0,Diesel,Manual,13300.0,6,23833.333333333332
Mercedes,E Class,2004,Sedan,251995.0,2200.0,Diesel,Automatic,6999.0,17,14823.235294117647
BMW,X3,2006,Crossover,267000.0,2000.0,Diesel,Manual,7350.0,15,17800.0
Renault,Megane,2013,Universal,191000.0,1500.0,Diesel,Automatic,6500.0,8,23875.0
Seat,Ibiza,2012,Universal,178000.0,1200.0,Diesel,Manual,5490.0,9,19777.777777777777
Opel,Astra,2006,Universal,208555.0,1900.0,Diesel,Manual,5099.0,15,13903.666666666666
Mercedes,E Class,2014,Sedan,176000.0,2200.0,Hybrid,Automatic,19800.0,7,25142.85714285714
Volkswagen,Jetta,2013,Sedan,177000.0,1400.0,Hybrid,Automatic,9490.0,8,22125.0
Vaz,2114,2010,Hatchback,181000.0,1600.0,Petrol,Manual,1950.0,11,16454.545454545456
Volkswagen,Golf,2009,Universal,269000.0,1400.0,Petrol,Automatic,5990.0,12,22416.666666666668
Dacia,Lodgy,2013,Universal,160000.0,1500.0,Diesel,Manual,6400.0,8,20000.0
